12	6	E	-1739235.463653863	200
emissionprobs	8	2	h3k36me3	1	0.004457286204827986
emissionprobs	8	3	h3k4me1	0	0.9946673929823232
emissionprobs	8	3	h3k4me1	1	0.005332607017676847
emissionprobs	8	4	h3k4me3	0	0.9974611077162145
emissionprobs	8	4	h3k4me3	1	0.0025388922837853815
emissionprobs	8	5	h3k9me3	0	0.9984708131013611
emissionprobs	8	5	h3k9me3	1	0.0015291868986388722
emissionprobs	9	0	h3k27ac	0	0.9972965160231997
emissionprobs	9	0	h3k27ac	1	0.002703483976800363
emissionprobs	9	1	h3k27me3	0	0.9997693116589308
emissionprobs	9	1	h3k27me3	1	2.3068834106923053E-4
emissionprobs	9	2	h3k36me3	0	0.9927059618045692
emissionprobs	9	2	h3k36me3	1	0.007294038195430845
emissionprobs	9	3	h3k4me1	0	0.7359853945973492
emissionprobs	9	3	h3k4me1	1	0.2640146054026507
emissionprobs	9	4	h3k4me3	0	0.9967142995519227
emissionprobs	9	4	h3k4me3	1	0.003285700448077382
emissionprobs	9	5	h3k9me3	0	0.9989952137993225
emissionprobs	9	5	h3k9me3	1	0.001004786200677406
emissionprobs	10	0	h3k27ac	0	0.9953983825048135
emissionprobs	10	0	h3k27ac	1	0.004601617495186379
emissionprobs	10	1	h3k27me3	0	0.9966716490191473
emissionprobs	10	1	h3k27me3	1	0.0033283509808528216
emissionprobs	10	2	h3k36me3	0	0.9985624755591658
emissionprobs	10	2	h3k36me3	1	0.00143752444083419
emissionprobs	10	3	h3k4me1	0	0.8011146908304223
emissionprobs	10	3	h3k4me1	1	0.1988853091695777
emissionprobs	10	4	h3k4me3	0	0.9989747795240862
emissionprobs	10	4	h3k4me3	1	0.0010252204759137501
emissionprobs	10	5	h3k9me3	0	0.9962508382356394
emissionprobs	10	5	h3k9me3	1	0.003749161764360621
emissionprobs	11	0	h3k27ac	0	0.9351015426117987
emissionprobs	11	0	h3k27ac	1	0.06489845738820127
emissionprobs	11	1	h3k27me3	0	0.9992016304469934
