12	6	E	-2640452.3753276262	200
emissionprobs	11	2	h3k36me3	1	0.49225765836686364
emissionprobs	11	3	h3k4me1	0	0.9788000568661117
emissionprobs	11	3	h3k4me1	1	0.02119994313388827
emissionprobs	11	4	h3k4me3	0	0.9912075920641447
emissionprobs	11	4	h3k4me3	1	0.00879240793585529
emissionprobs	11	5	h3k9me3	0	0.9869102370027741
emissionprobs	11	5	h3k9me3	1	0.01308976299722586
emissionprobs	12	0	h3k27ac	0	0.9983703952496774
emissionprobs	12	0	h3k27ac	1	0.0016296047503225827
emissionprobs	12	1	h3k27me3	0	0.9994594037686316
emissionprobs	12	1	h3k27me3	1	5.405962313683921E-4
emissionprobs	12	2	h3k36me3	0	0.9751673222037717
emissionprobs	12	2	h3k36me3	1	0.024832677796228317
emissionprobs	12	3	h3k4me1	0	0.99719840169833
emissionprobs	12	3	h3k4me1	1	0.0028015983016701153
emissionprobs	12	4	h3k4me3	0	0.9377717082946126
emissionprobs	12	4	h3k4me3	1	0.06222829170538733
emissionprobs	12	5	h3k9me3	0	0.9948662065761341
emissionprobs	12	5	h3k9me3	1	0.005133793423865905
